                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.128,                 2.9004,                 1.4925,                0.00541,                0.98235,                0.16468,                0.09521,                0.68937,                 2.9918,                 1.0458,                 0.0892,                 0.0012,                 0.0012
                      1,                0.88595,                 2.5337,                  1.352,                0.00505,                0.94118,                0.31992,                0.27225,                0.64348,                 2.8653,                0.96428,               0.077451,              0.0024505,              0.0024505
                      2,                0.86464,                  2.138,                 1.3013,                  0.005,                0.93529,                0.54903,                0.49677,                0.75228,                 2.7746,                 1.0486,                0.06565,              0.0036495,              0.0036495
                      3,                0.85032,                 1.8981,                 1.2932,                      1,                0.24168,                0.49576,                0.45449,                0.69516,                 2.6925,                 1.0286,               0.053797,              0.0047971,              0.0047971
                      4,                0.81761,                 1.7654,                 1.2477,                      1,                0.28024,                0.44269,                0.41616,                0.61756,                 2.4409,                0.91329,               0.041893,              0.0058931,              0.0058931
                      5,                0.86711,                 1.7198,                 1.2696,                 0.9922,                0.28235,                0.50983,                0.48036,                0.79337,                 2.1105,                 1.0395,               0.029938,              0.0069377,              0.0069377
                      6,                 0.7947,                  1.601,                 1.2393,                      1,                0.28795,                0.48778,                0.39794,                0.82263,                 1.9186,                 1.0663,               0.017931,              0.0079308,              0.0079308
                      7,                0.86471,                  1.697,                 1.2791,                0.68621,                0.67373,                0.58693,                0.56123,                 0.7592,                 1.8778,                  1.026,               0.008614,               0.008614,               0.008614
                      8,                0.88966,                 1.6716,                 1.2758,                0.99883,                0.28235,                0.63299,                0.60966,                0.70828,                 1.5824,                0.93613,               0.008614,               0.008614,               0.008614
                      9,                0.86383,                 1.5804,                 1.2681,                0.68453,                0.66109,                0.57109,                0.53466,                0.71139,                 1.6507,                0.98208,               0.008416,               0.008416,               0.008416
                     10,                0.82784,                 1.5505,                 1.2454,                0.49611,                0.74199,                0.69552,                0.64568,                0.55683,                 1.6699,                 0.7759,               0.008218,               0.008218,               0.008218
                     11,                0.84074,                 1.5089,                 1.2683,                0.77556,                0.66697,                0.70014,                0.67116,                0.62506,                 1.5206,                0.79508,                0.00802,                0.00802,                0.00802
                     12,                0.78596,                 1.4962,                 1.2367,                0.60054,                0.64615,                0.65132,                0.61101,                0.64272,                 1.6029,                0.84852,               0.007822,               0.007822,               0.007822
                     13,                0.81538,                  1.512,                 1.2464,                0.91716,                 0.4265,                  0.605,                0.57031,                 0.5318,                 1.6744,                0.72459,               0.007624,               0.007624,               0.007624
                     14,                 0.7927,                 1.4474,                 1.2194,                0.58728,                0.60769,                0.62244,                0.58001,                0.60842,                 1.6622,                0.83949,               0.007426,               0.007426,               0.007426
                     15,                 0.8452,                 1.5015,                 1.2469,                0.78937,                0.66697,                0.71196,                0.66878,                0.53135,                 1.3442,                0.75479,               0.007228,               0.007228,               0.007228
                     16,                0.76897,                 1.3915,                   1.22,                0.71939,                0.64027,                0.66619,                0.62839,                0.53002,                 1.4314,                0.77865,                0.00703,                0.00703,                0.00703
                     17,                0.83337,                  1.397,                 1.2481,                0.96798,                0.43612,                0.64155,                0.60541,                 0.6116,                 1.8663,                0.85361,               0.006832,               0.006832,               0.006832
                     18,                0.80057,                 1.4119,                 1.2432,                 0.7514,                0.48897,                0.70534,                0.61789,                0.66667,                 1.7535,                0.90892,               0.006634,               0.006634,               0.006634
                     19,                0.83278,                 1.4236,                  1.261,                0.70729,                0.60181,                0.68674,                0.60142,                 0.5334,                 1.3505,                 0.8328,               0.006436,               0.006436,               0.006436
                     20,                0.77621,                  1.412,                 1.2243,                0.85454,                0.60181,                0.71477,                0.67263,                0.61036,                 1.5664,                0.91441,               0.006238,               0.006238,               0.006238
                     21,                 0.7596,                 1.3316,                 1.2253,                0.90168,                0.56762,                0.72071,                0.67888,                0.50236,                 1.4634,                0.78766,                0.00604,                0.00604,                0.00604
                     22,                0.75522,                 1.3518,                 1.1954,                0.75958,                0.61303,                0.72958,                0.67464,                0.51273,                  1.308,                0.76864,               0.005842,               0.005842,               0.005842
                     23,                0.74266,                 1.3342,                 1.1879,                0.80255,                0.60599,                0.77208,                0.70839,                0.55791,                 1.4088,                0.81298,               0.005644,               0.005644,               0.005644
                     24,                0.75674,                 1.3488,                 1.1954,                0.68723,                0.61202,                0.79621,                0.71759,                0.50452,                 1.3127,                0.76171,               0.005446,               0.005446,               0.005446
                     25,                0.71724,                 1.3029,                 1.1871,                0.71781,                0.52496,                0.74736,                0.65109,                0.45094,                   1.27,                0.70842,               0.005248,               0.005248,               0.005248
                     26,                0.71711,                 1.2636,                 1.1939,                0.72433,                0.60995,                 0.7743,                0.71589,                0.41789,                 1.2439,                 0.6715,                0.00505,                0.00505,                0.00505
                     27,                  0.702,                 1.2543,                 1.1711,                0.88165,                0.51716,                0.74227,                0.68264,                  0.484,                 1.2572,                 0.7317,               0.004852,               0.004852,               0.004852
                     28,                 0.7374,                 1.2917,                 1.1974,                0.62444,                0.73922,                0.78853,                 0.7308,                0.53582,                 1.2828,                0.79401,               0.004654,               0.004654,               0.004654
                     29,                0.70395,                 1.2474,                 1.1823,                0.91552,                0.59159,                0.79714,                0.75236,                0.53978,                 1.1797,                0.78685,               0.004456,               0.004456,               0.004456
                     30,                0.70184,                 1.2813,                 1.1826,                0.88387,                0.69996,                   0.83,                0.75232,                0.50305,                 1.1939,                0.72397,               0.004258,               0.004258,               0.004258
                     31,                0.69968,                 1.2533,                 1.1776,                0.72198,                0.71719,                0.77825,                0.70804,                0.49479,                 1.2631,                0.72217,                0.00406,                0.00406,                0.00406
                     32,                0.71981,                  1.255,                 1.2061,                0.80941,                0.62173,                0.74945,                0.68474,                0.51293,                 1.3207,                0.75727,               0.003862,               0.003862,               0.003862
                     33,                0.69844,                 1.2394,                 1.1742,                0.77192,                0.72853,                0.74745,                 0.6972,                0.50092,                 1.2643,                0.75188,               0.003664,               0.003664,               0.003664
                     34,                 0.6557,                 1.2158,                  1.144,                   0.99,                0.58304,                0.78225,                0.72301,                0.48259,                 1.1853,                0.73671,               0.003466,               0.003466,               0.003466
                     35,                0.68492,                 1.2397,                 1.1786,                0.74106,                0.66697,                0.74136,                0.69922,                0.48872,                 1.1874,                0.74526,               0.003268,               0.003268,               0.003268
                     36,                0.67599,                 1.2705,                  1.151,                0.74616,                0.72588,                0.77305,                0.73527,                0.44972,                 1.1169,                0.71595,                0.00307,                0.00307,                0.00307
                     37,                0.65863,                 1.2397,                 1.1753,                 0.9794,                0.60181,                0.81238,                0.76364,                0.46817,                 1.1333,                0.73521,               0.002872,               0.002872,               0.002872
                     38,                0.64915,                 1.2091,                 1.1424,                0.97416,                0.59005,                0.80976,                0.75598,                0.44986,                 1.1748,                 0.7341,               0.002674,               0.002674,               0.002674
                     39,                 0.6455,                  1.165,                  1.146,                0.76171,                0.77617,                0.81207,                0.76404,                0.47622,                 1.1227,                0.75999,               0.002476,               0.002476,               0.002476
                     40,                0.65558,                 1.1984,                 1.1595,                0.97557,                0.60181,                 0.8255,                0.77012,                0.45168,                 1.0952,                 0.7444,               0.002278,               0.002278,               0.002278
                     41,                0.67038,                 1.2205,                 1.1833,                0.73651,                0.79805,                0.79217,                0.74438,                0.43642,                 1.0812,                0.73238,                0.00208,                0.00208,                0.00208
                     42,                0.62629,                 1.2138,                 1.1355,                0.79071,                 0.7513,                 0.7748,                0.72619,                0.44033,                  1.089,                0.73695,               0.001882,               0.001882,               0.001882
                     43,                0.66548,                 1.2006,                 1.1717,                0.80772,                0.75566,                0.78375,                0.73895,                0.44237,                 1.0651,                0.72341,               0.001684,               0.001684,               0.001684
                     44,                0.64598,                 1.1983,                  1.147,                0.77441,                0.79905,                0.80379,                0.75552,                0.42821,                 1.0567,                0.71471,               0.001486,               0.001486,               0.001486
                     45,                0.59856,                   1.17,                 1.1306,                0.79413,                0.79893,                0.81442,                0.76106,                0.42394,                 1.0625,                0.70838,               0.001288,               0.001288,               0.001288
                     46,                0.64617,                 1.1876,                  1.137,                0.79526,                0.79549,                 0.8132,                0.76791,                0.41528,                 1.0437,                0.69861,                0.00109,                0.00109,                0.00109
                     47,                0.62017,                  1.163,                 1.1434,                0.80366,                0.71719,                0.80945,                0.76557,                0.41219,                 1.0397,                0.69401,               0.000892,               0.000892,               0.000892
                     48,                0.61532,                 1.1613,                  1.135,                0.80125,                0.71719,                0.81283,                0.76287,                 0.4302,                 1.0467,                0.70977,               0.000694,               0.000694,               0.000694
                     49,                0.59089,                 1.1361,                 1.1382,                0.79043,                0.73363,                0.81193,                0.76319,                0.43658,                 1.0436,                0.71526,               0.000496,               0.000496,               0.000496
